source_id,provider,report,year,url,relative_path,licence_note,schema_version,local_path,bytes,sha256,retrieved_at_utc,cache_hit,first_interval_utc,last_interval_utc,row_count
eirgrid_dispatch_down_2021,EirGrid,dispatch_down,2021,https://cms.eirgrid.ie/sites/default/files/publications/DD-HH-2021.xlsx,eirgrid/dispatch_down/2021/DD-HH-2021.xlsx,Review the EirGrid Open Data Licence and website disclaimer before redistribution.,1.0,data/raw/eirgrid/dispatch_down/2021/DD-HH-2021.xlsx,3639516,b06580d7884770fe6317ce68e9e6b024df26c7bd0dc691dec31562080ad0e0a5,2026-09-21T21:50:11Z,True,2021-01-01T00:00:00+00:00,2021-12-31T23:30:00+00:00,52560
eirgrid_dispatch_down_2022,EirGrid,dispatch_down,2022,https://cms.eirgrid.ie/sites/default/files/publications/DD-HH-2022.xlsx,eirgrid/dispatch_down/2022/DD-HH-2022.xlsx,Review the EirGrid Open Data Licence and website disclaimer before redistribution.,1.0,data/raw/eirgrid/dispatch_down/2022/DD-HH-2022.xlsx,3580919,64728bbb131721cbe2068a1ad77ec61c32b00d6513f438426a8234e64fa2b975,2026-09-21T21:50:11Z,True,2022-01-01T00:00:00+00:00,2022-12-31T23:30:00+00:00,52560
eirgrid_dispatch_down_2023,EirGrid,dispatch_down,2023,https://cms.eirgrid.ie/sites/default/files/publications/DD-HH-2023.xlsx,eirgrid/dispatch_down/2023/DD-HH-2023.xlsx,Review the EirGrid Open Data Licence and website disclaimer before redistribution.,1.0,data/raw/eirgrid/dispatch_down/2023/DD-HH-2023.xlsx,4581117,69a8e33d13928def12a68fd45674ba3b81c5d30fedf726cd36fe49f4c73ddb24,2026-09-21T21:50:11Z,True,2023-01-01T00:00:00+00:00,2023-12-31T23:30:00+00:00,65762
eirgrid_dispatch_down_2024,EirGrid,dispatch_down,2024,https://cms.eirgrid.ie/sites/default/files/publications/DD-HH-2024.xlsx,eirgrid/dispatch_down/2024/DD-HH-2024.xlsx,Review the EirGrid Open Data Licence and website disclaimer before redistribution.,1.0,data/raw/eirgrid/dispatch_down/2024/DD-HH-2024.xlsx,4912641,6be9b73ac140d8c52d634720efc4b3fa284f57bae59852892f421e617dd9199f,2026-09-21T21:50:12Z,True,2024-01-01T00:00:00+00:00,2024-12-31T23:30:00+00:00,70272
eirgrid_dispatch_down_2025,EirGrid,dispatch_down,2025,https://cms.eirgrid.ie/sites/default/files/publications/DD-HH-2025-v10.xlsx,eirgrid/dispatch_down/2025/DD-HH-2025-v10.xlsx,Review the EirGrid Open Data Licence and website disclaimer before redistribution.,1.0,data/raw/eirgrid/dispatch_down/2025/DD-HH-2025-v10.xlsx,5060348,78ea2262da0deff153e49201d0103aeb3ac30b68dbc612ac9096eaf88efc4dbb,2026-09-21T21:50:12Z,True,2025-01-01T00:00:00+00:00,2025-12-31T23:30:00+00:00,70080
eirgrid_dispatch_down_2026,EirGrid,dispatch_down,2026,https://cms.eirgrid.ie/sites/default/files/publications/DD-HH-2026-V9.xlsx,eirgrid/dispatch_down/2026/DD-HH-2026-V9.xlsx,Review the EirGrid Open Data Licence and website disclaimer before redistribution.,1.0,data/raw/eirgrid/dispatch_down/2026/DD-HH-2026-V9.xlsx,3417425,b641876ea690ca5c4ffc180b8ba99cac80518ee164caa0191bacd6b5b528c1bb,2026-09-21T21:50:13Z,True,2026-01-01T00:00:00+00:00,2026-08-31T22:30:00+00:00,46648
eirgrid_system_2020_2021,EirGrid,system,2020-2021,https://cms.eirgrid.ie/sites/default/files/publications/System-Data-Qtr-Hourly-2020-2021.xlsx,eirgrid/system/2020-2021/System-Data-Qtr-Hourly-2020-2021.xlsx,Review the EirGrid Open Data Licence and website disclaimer before redistribution.,1.0,data/raw/eirgrid/system/2020-2021/System-Data-Qtr-Hourly-2020-2021.xlsx,8686300,69b17a5f90f7b9704dd81034470c17cbf9c0cdc88efdc1d3be6eb4583c280f90,2026-09-23T15:06:17Z,True,2021-01-01T00:00:00+00:00,2021-12-31T23:45:00+00:00,35040
eirgrid_system_2022_2023,EirGrid,system,2022-2023,https://cms.eirgrid.ie/sites/default/files/publications/System-Data-Qtr-Hourly-2022-2023_0.xlsx,eirgrid/system/2022-2023/System-Data-Qtr-Hourly-2022-2023.xlsx,Review the EirGrid Open Data Licence and website disclaimer before redistribution.,1.0,data/raw/eirgrid/system/2022-2023/System-Data-Qtr-Hourly-2022-2023.xlsx,23091265,791517f0c3e25b68981f07851bc3a0a5615c8dd82b9f9a21a460cba217ecc24e,2026-09-23T15:11:33Z,True,2022-01-01T00:00:00+00:00,2023-12-31T23:45:00+00:00,70080
eirgrid_system_2024,EirGrid,system,2024,https://cms.eirgrid.ie/sites/default/files/2025-02/System_Data_Qtr_Hourly_2024.xlsx,eirgrid/system/2024/System_Data_Qtr_Hourly_2024.xlsx,Review the EirGrid Open Data Licence and website disclaimer before redistribution.,1.0,data/raw/eirgrid/system/2024/System_Data_Qtr_Hourly_2024.xlsx,12101550,27b01a5b1fbc69284fa0390d580b4ae105a9af9bb85aff9ad5190088b1d368e6,2026-09-23T15:14:53Z,True,2024-01-01T00:00:00+00:00,2024-12-31T23:45:00+00:00,35136
eirgrid_system_2025,EirGrid,system,2025,https://cms.eirgrid.ie/sites/default/files/publications/System-Data-Qtr-Hourly-2025-v12.xlsx,eirgrid/system/2025/System-Data-Qtr-Hourly-2025-v12.xlsx,Review the EirGrid Open Data Licence and website disclaimer before redistribution.,1.0,data/raw/eirgrid/system/2025/System-Data-Qtr-Hourly-2025-v12.xlsx,12444006,11eec44649426878e850f23949e3cbef9388252313062ab98a719dc405ceb6cc,2026-09-23T15:15:08Z,True,2025-01-01T00:00:00+00:00,2025-12-31T23:45:00+00:00,35040
