column,role,unit,source,dtype
issue_timestamp_utc,identifier,UTC timestamp,Derived alignment,"datetime64[us, UTC]"
entsoe_fossil_gas_generation_mw,feature,MW,Hack the Climate / ENTSO-E samples,float64
entsoe_fossil_hard_coal_generation_mw,feature,MW,Hack the Climate / ENTSO-E samples,float64
entsoe_fossil_oil_generation_mw,feature,MW,Hack the Climate / ENTSO-E samples,float64
entsoe_fossil_peat_generation_mw,feature,MW,Hack the Climate / ENTSO-E samples,float64
entsoe_hydro_pumped_storage_generation_mw,feature,MW,Hack the Climate / ENTSO-E samples,float64
entsoe_hydro_run_of_river_and_poundage_generation_mw,feature,MW,Hack the Climate / ENTSO-E samples,float64
entsoe_other_generation_mw,feature,MW,Hack the Climate / ENTSO-E samples,float64
entsoe_solar_generation_mw,feature,MW,Hack the Climate / ENTSO-E samples,float64
entsoe_wind_onshore_generation_mw,feature,MW,Hack the Climate / ENTSO-E samples,float64
entsoe_generation_imputed_flag,feature,binary,Hack the Climate / ENTSO-E samples,int8
entsoe_total_generation_mw,feature,MW,Hack the Climate / ENTSO-E samples,float64
entsoe_renewable_generation_mw,feature,MW,Hack the Climate / ENTSO-E samples,float64
entsoe_nonrenewable_generation_mw,feature,MW,Hack the Climate / ENTSO-E samples,float64
entsoe_actual_load_mw,feature,MW,Hack the Climate / ENTSO-E samples,float64
entsoe_load_imputed_flag,feature,binary,Hack the Climate / ENTSO-E samples,int8
entsoe_price_eur_mwh,feature,EUR/MWh,Hack the Climate / ENTSO-E samples,float64
entsoe_price_hourly_carry_forward_flag,feature,binary,Hack the Climate / ENTSO-E samples,int8
eirgrid_ie_generation_mw,feature,MW,EirGrid System Data Qtr Hourly 2026,float64
eirgrid_ie_demand_mw,feature,MW,EirGrid System Data Qtr Hourly 2026,float64
eirgrid_ie_wind_availability_mw,feature,MW,EirGrid System Data Qtr Hourly 2026,float64
eirgrid_ie_wind_generation_mw,feature,MW,EirGrid System Data Qtr Hourly 2026,float64
eirgrid_ie_solar_availability_mw,feature,MW,EirGrid System Data Qtr Hourly 2026,float64
eirgrid_ie_solar_generation_mw,feature,MW,EirGrid System Data Qtr Hourly 2026,float64
eirgrid_ie_hydro_generation_mw,feature,MW,EirGrid System Data Qtr Hourly 2026,float64
eirgrid_ewic_flow_mw,feature,MW,EirGrid System Data Qtr Hourly 2026,float64
eirgrid_greenlink_flow_mw,feature,MW,EirGrid System Data Qtr Hourly 2026,float64
eirgrid_ie_wind_penetration_ratio,feature,ratio,EirGrid System Data Qtr Hourly 2026,float64
eirgrid_ie_solar_penetration_ratio,feature,ratio,EirGrid System Data Qtr Hourly 2026,float64
eirgrid_all_island_generation_mw,feature,MW,EirGrid System Data Qtr Hourly 2026,float64
eirgrid_all_island_demand_mw,feature,MW,EirGrid System Data Qtr Hourly 2026,float64
