source_id,provider,report,year,url,relative_path,licence_note,schema_version,local_path,bytes,sha256,retrieved_at_utc,first_interval_utc,last_interval_utc,row_count
semo_pub_15minaggwindfcst_202609230004,SEMO,PUB_15MinAggWindFcst,2026,https://reports.sem-o.com/documents/PUB_15MinAggWindFcst_202609230004.xml,semo/market_signals/PUB_15MinAggWindFcst/2026/09/PUB_15MinAggWindFcst_202609230004.xml,Review the SEMO open-data terms and disclaimer before redistribution.,semo-market-v1,data/raw/semo/market_signals/PUB_15MinAggWindFcst/2026/09/PUB_15MinAggWindFcst_202609230004.xml,66365,7b586949527feb03c8f3e8d61db0587e3762c2047d89d404148496fe74903483,2026-09-23T22:39:11Z,2026-09-22T22:15:00+00:00,2026-09-27T01:00:00+00:00,395
semo_pub_15minaggwindfcst_202609230013,SEMO,PUB_15MinAggWindFcst,2026,https://reports.sem-o.com/documents/PUB_15MinAggWindFcst_202609230013.xml,semo/market_signals/PUB_15MinAggWindFcst/2026/09/PUB_15MinAggWindFcst_202609230013.xml,Review the SEMO open-data terms and disclaimer before redistribution.,semo-market-v1,data/raw/semo/market_signals/PUB_15MinAggWindFcst/2026/09/PUB_15MinAggWindFcst_202609230013.xml,66341,4fa04489b33cdbc118ff5b6b88e293ffd72cafa1ed6841e146f5c4c19b0da86c,2026-09-23T22:39:10Z,2026-09-22T22:15:00+00:00,2026-09-27T01:00:00+00:00,395
semo_pub_15minaggwindfcst_202609230604,SEMO,PUB_15MinAggWindFcst,2026,https://reports.sem-o.com/documents/PUB_15MinAggWindFcst_202609230604.xml,semo/market_signals/PUB_15MinAggWindFcst/2026/09/PUB_15MinAggWindFcst_202609230604.xml,Review the SEMO open-data terms and disclaimer before redistribution.,semo-market-v1,data/raw/semo/market_signals/PUB_15MinAggWindFcst/2026/09/PUB_15MinAggWindFcst_202609230604.xml,70381,4e85859876c782fd0879daab0dd72a9a11f25f06e9612e586d96c565098d9612,2026-09-23T22:39:10Z,2026-09-22T22:15:00+00:00,2026-09-27T07:00:00+00:00,419
semo_pub_15minaggwindfcst_202609230614,SEMO,PUB_15MinAggWindFcst,2026,https://reports.sem-o.com/documents/PUB_15MinAggWindFcst_202609230614.xml,semo/market_signals/PUB_15MinAggWindFcst/2026/09/PUB_15MinAggWindFcst_202609230614.xml,Review the SEMO open-data terms and disclaimer before redistribution.,semo-market-v1,data/raw/semo/market_signals/PUB_15MinAggWindFcst/2026/09/PUB_15MinAggWindFcst_202609230614.xml,70424,ff3a45c0efc3ae4a0869e9b4c8bfd4e41ac17e68e1ef76781b9e9a10163a99bf,2026-09-23T22:39:10Z,2026-09-22T22:15:00+00:00,2026-09-27T07:00:00+00:00,419
semo_pub_15minaggwindfcst_202609231209,SEMO,PUB_15MinAggWindFcst,2026,https://reports.sem-o.com/documents/PUB_15MinAggWindFcst_202609231209.xml,semo/market_signals/PUB_15MinAggWindFcst/2026/09/PUB_15MinAggWindFcst_202609231209.xml,Review the SEMO open-data terms and disclaimer before redistribution.,semo-market-v1,data/raw/semo/market_signals/PUB_15MinAggWindFcst/2026/09/PUB_15MinAggWindFcst_202609231209.xml,74433,30f71580ca6ae84772f1b820e2391753c69cab37c491e2021aa6484374b3c8c7,2026-09-23T22:39:10Z,2026-09-22T22:15:00+00:00,2026-09-27T13:00:00+00:00,443
semo_pub_15minaggwindfcst_202609231214,SEMO,PUB_15MinAggWindFcst,2026,https://reports.sem-o.com/documents/PUB_15MinAggWindFcst_202609231214.xml,semo/market_signals/PUB_15MinAggWindFcst/2026/09/PUB_15MinAggWindFcst_202609231214.xml,Review the SEMO open-data terms and disclaimer before redistribution.,semo-market-v1,data/raw/semo/market_signals/PUB_15MinAggWindFcst/2026/09/PUB_15MinAggWindFcst_202609231214.xml,74461,f2bc347ed177318a46e13f0bd3e6d4ed4af9716104a38f6008ff4e3813f8ef3f,2026-09-23T22:39:11Z,2026-09-22T22:15:00+00:00,2026-09-27T13:00:00+00:00,443
semo_pub_15minaggwindfcst_202609231223,SEMO,PUB_15MinAggWindFcst,2026,https://reports.sem-o.com/documents/PUB_15MinAggWindFcst_202609231223.xml,semo/market_signals/PUB_15MinAggWindFcst/2026/09/PUB_15MinAggWindFcst_202609231223.xml,Review the SEMO open-data terms and disclaimer before redistribution.,semo-market-v1,data/raw/semo/market_signals/PUB_15MinAggWindFcst/2026/09/PUB_15MinAggWindFcst_202609231223.xml,74461,178272b305f64a7136f6cc53ea630a200aa278c6369d57116364795b52a1e937,2026-09-23T22:39:10Z,2026-09-22T22:15:00+00:00,2026-09-27T13:00:00+00:00,443
semo_pub_15minaggwindfcst_202609231804,SEMO,PUB_15MinAggWindFcst,2026,https://reports.sem-o.com/documents/PUB_15MinAggWindFcst_202609231804.xml,semo/market_signals/PUB_15MinAggWindFcst/2026/09/PUB_15MinAggWindFcst_202609231804.xml,Review the SEMO open-data terms and disclaimer before redistribution.,semo-market-v1,data/raw/semo/market_signals/PUB_15MinAggWindFcst/2026/09/PUB_15MinAggWindFcst_202609231804.xml,78464,9c8bd0012b09c868a66ab589afaa07fbe8754222d431b7f0031d4c6b283f92bd,2026-09-23T22:39:10Z,2026-09-22T22:15:00+00:00,2026-09-27T19:00:00+00:00,467
semo_pub_15minaggwindfcst_202609231814,SEMO,PUB_15MinAggWindFcst,2026,https://reports.sem-o.com/documents/PUB_15MinAggWindFcst_202609231814.xml,semo/market_signals/PUB_15MinAggWindFcst/2026/09/PUB_15MinAggWindFcst_202609231814.xml,Review the SEMO open-data terms and disclaimer before redistribution.,semo-market-v1,data/raw/semo/market_signals/PUB_15MinAggWindFcst/2026/09/PUB_15MinAggWindFcst_202609231814.xml,78510,ce91b819c4589b86d9debe5e8ebf4bc202e956895d1e969332970ef884bfe603,2026-09-23T22:39:10Z,2026-09-22T22:15:00+00:00,2026-09-27T19:00:00+00:00,467
semo_pub_15minaggwindfcst_202609240004,SEMO,PUB_15MinAggWindFcst,2026,https://reports.sem-o.com/documents/PUB_15MinAggWindFcst_202609240004.xml,semo/market_signals/PUB_15MinAggWindFcst/2026/09/PUB_15MinAggWindFcst_202609240004.xml,Review the SEMO open-data terms and disclaimer before redistribution.,semo-market-v1,data/raw/semo/market_signals/PUB_15MinAggWindFcst/2026/09/PUB_15MinAggWindFcst_202609240004.xml,66466,f799609f1915e0c77f0b882586c6ea5404e087c8ead85408c970784fa8723604,2026-09-24T02:00:57Z,2026-09-23T22:15:00+00:00,2026-09-28T01:00:00+00:00,395
